bootstrap_ci,gcq_b425_vs_uniform_w4,+2.10,[0.30:3.90],paired n=1000 10k resamples seed0
bootstrap_ci,gcq_b425_vs_random_mean,+1.73,[0.27:3.17],paired n=1000 10k resamples seed0
fullsplit,testA (n=5657): GCQ-4.25 vs uniform W4 = +1.84 pts, 95% CI [1.29, 2.39]
fullsplit,testB (n=5095): GCQ-4.25 vs uniform W4 = +1.51 pts, 95% CI [0.80, 2.20]
