tag,model,task,subset,n,acc,mean_giou,parse_fail,acc_small,acc_medium,acc_large,blank_image,seconds
gcq_b45_testA_full,Qwen/Qwen3-VL-2B-Instruct,rec,rec_testA_full,5657,0.8915,0.8017,0.0011,,,0.8914619056036769,False,488
w4rtn_testA,Qwen/Qwen3-VL-2B-Instruct,rec,rec_testA_full,5657,0.8688,0.7706,0.0021,,,0.868835071592717,False,492
gcq_b425_testB_full,Qwen/Qwen3-VL-2B-Instruct,rec,rec_testB_full,5095,0.8141,0.7255,0.0014,,,0.8141315014720314,False,454
gcq_b45_testB_full,Qwen/Qwen3-VL-2B-Instruct,rec,rec_testB_full,5095,0.8194,0.7319,0.0010,,,0.8194308145240432,False,452
gcq_b475_rec1k,Qwen/Qwen3-VL-2B-Instruct,rec,rec_eval_refcoco_val_1k,1000,0.8740,0.7755,0.0000,,,0.874,False,93
gcq_b50_rec1k,Qwen/Qwen3-VL-2B-Instruct,rec,rec_eval_refcoco_val_1k,1000,0.8670,0.7710,0.0000,,,0.867,False,87
gptqW4_rec1k,/scratch/7168367.1.iris-gpu-pub/claude-1064820/-usr4-spclpgm-eric1/28dca245-fe48-493e-8bfb-2ab74cc5ba7a/scratchpad/ckpts/qwen3vl2b-gptqown-w4g128,rec,rec_eval_refcoco_val_1k,200,0.8350,0.7327,0.0050,,,0.835,False,18
gptqW4_rec1k_full,/scratch/7168367.1.iris-gpu-pub/claude-1064820/-usr4-spclpgm-eric1/28dca245-fe48-493e-8bfb-2ab74cc5ba7a/scratchpad/ckpts/qwen3vl2b-gptqown-w4g128,rec,rec_eval_refcoco_val_1k,1000,0.8540,0.7447,0.0020,,,0.854,False,88
gcqGPTQ_b425_rec1k,/scratch/7168367.1.iris-gpu-pub/claude-1064820/-usr4-spclpgm-eric1/28dca245-fe48-493e-8bfb-2ab74cc5ba7a/scratchpad/ckpts/qwen3vl2b-gcq-gptq-b425,rec,rec_eval_refcoco_val_1k,1000,0.8420,0.7258,0.0280,,,0.842,False,95
gptqW3_rec1k,/scratch/7168367.1.iris-gpu-pub/claude-1064820/-usr4-spclpgm-eric1/28dca245-fe48-493e-8bfb-2ab74cc5ba7a/scratchpad/ckpts/qwen3vl2b-gptqown-w3g128,rec,rec_eval_refcoco_val_1k,1000,0.0000,-1.0000,1.0000,,,0.0,False,100
gptqW4_vqa5k,/scratch/7168367.1.iris-gpu-pub/claude-1064820/-usr4-spclpgm-eric1/28dca245-fe48-493e-8bfb-2ab74cc5ba7a/scratchpad/ckpts/qwen3vl2b-gptqown-w4g128,vqa,vqa,5000,0.7811,,,,,,False,299
gptqW8_rec1k,/scratch/7168367.1.iris-gpu-pub/claude-1064820/-usr4-spclpgm-eric1/28dca245-fe48-493e-8bfb-2ab74cc5ba7a/scratchpad/ckpts/qwen3vl2b-gptqown-w8g128,rec,rec_eval_refcoco_val_1k,500,0.8620,0.7909,0.0000,,,0.862,False,44
gptqW3_vqa5k,/scratch/7168367.1.iris-gpu-pub/claude-1064820/-usr4-spclpgm-eric1/28dca245-fe48-493e-8bfb-2ab74cc5ba7a/scratchpad/ckpts/qwen3vl2b-gptqown-w3g128,vqa,vqa,5000,0.1772,,,,,,False,281
gcqGPTQspec_b425_rec1k,/scratch/7168367.1.iris-gpu-pub/claude-1064820/-usr4-spclpgm-eric1/28dca245-fe48-493e-8bfb-2ab74cc5ba7a/scratchpad/ckpts/qwen3vl2b-gcqgptqspec-b425,rec,rec_eval_refcoco_val_1k,1000,0.8550,0.7679,0.0000,,,0.855,False,87
w4a8_rec1k,Qwen/Qwen3-VL-2B-Instruct,rec,rec_eval_refcoco_val_1k,1000,0.8280,0.7335,0.0030,,,0.828,False,102
bf16_odinw500s,Qwen/Qwen3-VL-2B-Instruct,odinw,P=0.7208 R=0.5985,1091,0.6540,,,,,,False,157
w4a8_vqa5k,Qwen/Qwen3-VL-2B-Instruct,vqa,vqa,5000,0.7749,,,,,,False,267
w4rtn_odinw500s,Qwen/Qwen3-VL-2B-Instruct,odinw,P=0.6219 R=0.5472,1091,0.5822,,,,,,False,166
gcq_b425_odinw500s,Qwen/Qwen3-VL-2B-Instruct,odinw,P=0.6954 R=0.5692,1091,0.6260,,,,,,False,164
w8rtn_odinw500s,Qwen/Qwen3-VL-2B-Instruct,odinw,P=0.7290 R=0.6040,1091,0.6607,,,,,,False,170
